typeStatus,catalogNumber,individualCount,preparations,taxonConceptID,scientificName,kingdom,phylum,family,waterBody,country,stateProvince,locality,maximumDepthInMeters,locationRemarks,decimal Lat,decimal Long,geodeticDatum,samplingProtocol,eventDate,eventTime,fieldNumber,fieldNotes,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23591,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Anchinothria cf. pycnobranchaiata,"Anchinothria cf. pycnobranchaiata (McIntosh, 1885)",Animalia,Annelida,Onuphidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1517,MV Ocean Endeavour,-52.602631,-55.989055,WGS84,Box Corer,04/03/2011,18:34,1MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23592,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Anchinothria cf. pycnobranchaiata,"Anchinothria cf. pycnobranchaiata (McIntosh, 1885)",Animalia,Annelida,Onuphidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1517,MV Ocean Endeavour,-52.602631,-55.989055,WGS84,Box Corer,04/03/2011,18:34,1MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21714,1,"specimen fixed in 4  formalin, stored in 80% IMS",Ancistrosyllis cf groenlandica,"Ancistrosyllis cf. groenlandica McIntosh, 1879 ",Animalia,Annelida,Pilargidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),456,RRS Ernest Shackleton,-49.23308889,-59.1689586,WGS84,Box Corer,18/04/2012,15:33:00,1MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23484,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Ancistrosyllis cf groenlandica,"Ancistrosyllis cf. groenlandica McIntosh, 1879",Animalia,Annelida,Pilargidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Endeavour oil well),1346,not available,-50.664720,-54.599925,WGS84,Box Corer,28/01/2009,15:33,E4FA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23565,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Ancistrosyllis cf groenlandica,"Ancistrosyllis cf. groenlandica McIntosh, 1879",Animalia,Annelida,Pilargidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Toroa oil well),615,not available,-53.017052,-58.019089,WGS84,Box Corer,01/02/2009,15:33,T4FA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23516,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Anguillosyllis palpata,"Anguillosyllis palpata (Hartman, 1967)",Animalia,Annelida,Syllidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Infexible oil well),1782,MV Ocean Endeavour,-53.482551,-59.156921,WGS84,Box Corer,26/02/2011,07:55,2MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23610,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Anguillosyllis palpata,"Anguillosyllis palpata (Hartman, 1967)",Animalia,Annelida,Syllidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Vinson West oil well),1547,MV Ocean Endeavour,-52.614196,-55.959520,WGS84,Box Corer,04/03/2011,06:05,5MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.21599,1,"specimen fixed in 4  formalin, stored in 80% IMS",Anobothrus sp. 1,Anobothrus sp. ,Animalia,Annelida,Ampharetidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),455,RRS Ernest Shackleton,-49.2510775,-59.1686567,WGS84,Box Corer,17/04/2012,06:46:00,7MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
voucher,NHM.2018.12658-12659,2,"specimen fixed in 4  formalin, stored in 80% IMS",Anobothrus cf. glandularis,"Anobothrus cf. glandularis Hartmann-Schröder, 1965",Animalia,Annelida,Ampharetidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),459,RRS Ernest Shackleton,-49.25087639,-59.1411775,WGS84,Box Corer,24/04/2012,10:06:00,8MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23486,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Aonidella cirrobranchiata,"Aonidella cirrobranchiata (Day, 1961) sensu López, 2010",Animalia,Annelida,Spionidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Endeavour oil well),1350,not available,-50.664782,-54.601313,WGS84,Box Corer,28/01/2009,19:45,E4FB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.23491,1,"specimen fixed in 4%  formalin, stored in 80% IMS",Aonidella cirrobranchiata,"Aonidella cirrobranchiata (Day, 1961) sensu López, 2010",Animalia,Annelida,Spionidae,SW Atlantic,Falkland Islands,East Falklands Basin,East Falklands Basin (Hero oil well),1837,MV Ocean Endeavour,-50.576192,-53.531406,WGS84,BSL Double Van Veen Grab,16/03/2011,05:44,1MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.12696-12697,2,"specimen fixed in 4  formalin, stored in 80% IMS",Aphelochaeta sp. 1,Aphelochaeta sp. ,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),450,RRS Ernest Shackleton,-49.26886472,-59.1408653,WGS84,Box Corer,24/04/2012,11:19:00,14MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21759,1,"specimen fixed in 4  formalin, stored in 80% IMS",Aphelochaeta sp. 1,Aphelochaeta sp. ,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),458,RRS Ernest Shackleton,-49.23201917,-59.0316156,WGS84,Box Corer,25/04/2012,02:35:00,6MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.12702-12703,2,"specimen fixed in 4  formalin, stored in 80% IMS",Aphelochaeta sp. 5fA,Aphelochaeta sp. ,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),451,RRS Ernest Shackleton,-49.28685306,-59.1405528,WGS84,Box Corer,23/04/2012,07:52:00,20MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.12706-12707,2,"specimen fixed in 4  formalin, stored in 80% IMS",Aphelochaeta sp. 5fA,Aphelochaeta sp. ,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),442,RRS Ernest Shackleton,-49.34039472,-59.0845558,WGS84,Box Corer,23/04/2012,17:55:00,40MFB,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21707,1,"specimen fixed in 4  formalin, stored in 80% IMS",Aphelochaeta sp. 5fA,Aphelochaeta sp. ,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),459,RRS Ernest Shackleton,-49.26844278,-59.0858878,WGS84,Box Corer,25/04/2012,07:41:00,16MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21754,1,"specimen fixed in 4  formalin, stored in 80% IMS",Aphelochaeta sp. 5fA,Aphelochaeta sp. ,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),450,RRS Ernest Shackleton,-49.254527,-59.0494527,WGS84,Box Corer,18/03/2012,23:22:00,60MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.12714-12715,2,"specimen fixed in 4  formalin, stored in 80% IMS",Aphelochaeta sp. 5fB,Aphelochaeta sp. ,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),458,RRS Ernest Shackleton,-49.23201917,-59.0316156,WGS84,Box Corer,25/04/2012,02:35:00,6MFC,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21708,1,"specimen fixed in 4  formalin, stored in 80% IMS",Aphelochaeta sp. 5fB,Aphelochaeta sp. ,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),449,RRS Ernest Shackleton,-49.2679625,-59.0563564,WGS84,Box Corer,15/04/2012,17:42:00,17MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
Voucher,NHM.2018.21728,1,"specimen fixed in 4  formalin, stored in 80% IMS",Aphelochaeta sp. 5fB,Aphelochaeta sp. ,Animalia,Annelida,Cirratulidae,SW Atlantic,Falkland Islands,North Falkland Basin,North Falkland Basin (Sea Lion oil exploration),442,RRS Ernest Shackleton,-49.32303111,-59.1674461,WGS84,Box Corer,15/04/2012,03:34:00,31MFA,0.5mm mesh,,,,,,,,,,,,,,,,,,,
